t                   q                   u                   |q-u|               
2.0000000000        2.0000000000        2.0000000000        0.0000000000        
2.0000000000        0.5597392230        2.0000000000        1.4402607770        
2.0000000000        2.0000000000        2.0000000000        0.0000000000        
2.0000000000        2.0000000000        2.0000000000        0.0000000000        
2.0000000000        0.7814883803        2.0000000000        1.2185116197        
2.0000000000        2.0000000000        2.0000000000        0.0000000000        
t                   q                   u                   |q-u|               
3.0000000000        3.0000000000        3.0000000000        0.0000000000        
3.0000000000        1.7414225719        3.0000000000        1.2585774281        
3.0000000000        3.0000000000        3.0000000000        0.0000000000        
3.0000000000        3.0000000000        3.0000000000        0.0000000000        
3.0000000000        1.8806009502        3.0000000000        1.1193990498        
3.0000000000        3.0000000000        3.0000000000        0.0000000000        
t                   q                   u                   |q-u|               
4.0000000000        4.0000000000        4.0000000000        0.0000000000        
4.0000000000        2.8963130084        4.0000000000        1.1036869916        
4.0000000000        4.0000000000        4.0000000000        0.0000000000        
4.0000000000        4.0000000000        4.0000000000        0.0000000000        
4.0000000000        2.9773759349        4.0000000000        1.0226240651        
4.0000000000        4.0000000000        4.0000000000        0.0000000000        
